Player,Salary Rank,Salary,Player Rank,Age,Team,Position,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Stephen Curry,1,51915615,11,35,GSW,PG,74,4.5,5.1,0.7,0.4,2.8,26.4
Kevin Durant,2,47649433,7,35,PHO,PF,75,6.6,5.0,0.9,1.2,3.3,27.1
Joel Embiid,3,47607350,1,29,PHI,C,39,11.0,5.6,1.2,1.7,3.8,34.7
LeBron James,3,47607350,15,39,LAL,PF,71,7.3,8.3,1.3,0.5,3.5,25.7
Bradley Beal,6,46741590,63,30,PHO,SG,53,4.4,5.0,1.0,0.5,2.5,18.2
Damian Lillard,7,45640084,20,33,MIL,PG,73,4.4,7.0,1.0,0.2,2.6,24.3
Giannis Antetokounmpo,7,45640084,3,29,MIL,PF,73,11.5,6.5,1.2,1.1,3.4,30.4
Kawhi Leonard,7,45640084,25,32,LAC,SF,68,6.1,3.6,1.6,0.9,1.8,23.7
Paul George,7,45640084,31,33,LAC,PF,74,5.2,3.5,1.5,0.5,2.1,22.6
Jimmy Butler,11,45183960,44,34,MIA,PF,60,5.3,5.0,1.3,0.3,1.7,20.8
Klay Thompson,12,43219440,67,33,GSW,SF,77,3.3,2.3,0.6,0.5,1.5,17.9
Rudy Gobert,13,41000000,106,31,MIN,C,76,12.9,1.3,0.7,2.1,1.6,14.0
Fred VanVleet,14,40806300,69,29,HOU,PG,73,3.8,8.1,1.4,0.8,1.7,17.4
Anthony Davis,15,40600080,19,30,LAL,C,76,12.6,3.5,1.2,2.3,2.1,24.7
Trae Young,16,40064220,16,25,ATL,PG,54,2.8,10.8,1.3,0.2,4.4,25.7
Zach LaVine,16,40064220,56,28,CHI,SG,25,5.2,3.9,0.8,0.3,2.1,19.5
Tobias Harris,19,39270150,71,31,PHI,PF,70,6.5,3.1,1.0,0.7,1.3,17.2
Kyrie Irving,20,38037037,17,31,DAL,SG,58,5.0,5.2,1.3,0.5,1.8,25.6
Ben Simmons,21,37893408,299,27,BRK,PG,15,7.9,5.7,0.8,0.6,1.8,6.1
Pascal Siakam,21,37893408,38,29,2TM,PF,80,7.1,4.3,0.8,0.3,1.8,21.7
Jrue Holiday,23,37620347,129,33,BOS,PG,69,5.4,4.8,0.9,0.8,1.8,12.5
Devin Booker,24,36016200,6,27,PHO,PG,68,4.5,6.9,0.9,0.4,2.6,27.1
Karl-Anthony Towns,24,36016200,37,28,MIN,PF,62,8.3,3.0,0.7,0.7,2.9,21.8
CJ McCollum,27,35802469,50,32,NOP,PG,66,4.3,4.6,0.9,0.6,1.7,20.0
James Harden,28,35680595,78,34,LAC,PG,72,5.1,8.5,1.1,0.8,2.6,16.6
Darius Garland,29,34005250,64,24,CLE,PG,57,2.7,6.5,1.3,0.1,3.1,18.0
Ja Morant,29,34005250,18,24,MEM,PG,9,5.6,8.1,0.8,0.6,3.0,25.1
Zion Williamson,29,34005250,28,23,NOP,PF,70,5.8,5.0,1.1,0.7,2.8,22.9
Brandon Ingram,32,33833400,46,26,NOP,SF,64,5.1,5.7,0.8,0.6,2.5,20.8
Jamal Murray,32,33833400,40,26,DEN,PG,59,4.1,6.5,1.0,0.7,2.1,21.2
Michael Porter,34,33386850,77,25,DEN,SF,81,7.0,1.5,0.5,0.7,1.1,16.7
Shai Gilgeous-Alexander,34,33386850,4,25,OKC,PG,75,5.5,6.2,2.0,0.9,2.2,30.1
Gordon Hayward,36,33319397,187,33,OKC,SF,26,2.5,1.6,0.5,0.0,0.6,5.3
Donovan Mitchell,37,33162030,10,27,CLE,SG,55,5.1,6.1,1.8,0.5,2.8,26.6
Bam Adebayo,38,32600060,59,26,MIA,C,71,10.4,3.9,1.1,0.9,2.3,19.3
De'Aaron Fox,38,32600060,9,26,SAC,PG,74,4.6,5.6,2.0,0.4,2.6,26.6
Jayson Tatum,38,32600060,8,25,BOS,PF,74,8.1,4.9,1.0,0.6,2.5,26.9
Deandre Ayton,41,32459438,76,25,POR,C,55,11.1,1.6,1.0,0.8,1.8,16.7
Jaylen Brown,42,31830357,27,27,BOS,SF,70,5.5,3.6,1.2,0.5,2.4,23.0
Chris Paul,43,30800000,200,38,GSW,PG,58,3.9,6.8,1.2,0.1,1.3,9.2
Kyle Lowry,44,29682540,223,37,PHI,PG,23,2.8,4.6,0.9,0.3,1.4,8.0
Khris Middleton,45,29320988,97,32,MIL,SF,55,4.7,5.3,0.9,0.3,2.3,15.1
Domantas Sabonis,46,29300000,58,27,SAC,C,82,13.7,8.2,0.9,0.6,3.3,19.4
DeMar DeRozan,47,28600000,21,34,CHI,SF,79,4.3,5.3,1.1,0.6,1.7,24.0
Jordan Poole,48,27955357,68,24,WAS,SG,78,2.7,4.4,1.1,0.3,2.4,17.4
Jerami Grant,49,27586207,43,29,POR,PF,54,3.5,2.8,0.8,0.6,2.1,21.0
Jaren Jackson Jr,50,27102202,33,24,MEM,C,66,5.5,2.3,1.2,1.6,2.4,22.5
Tyler Herro,51,27000000,45,24,MIA,SG,42,5.3,4.5,0.7,0.1,2.2,20.8
Julius Randle,52,26943840,22,29,NYK,PF,46,9.2,5.0,0.5,0.3,3.5,24.0
Jalen Brunson,53,26346666,5,27,NYK,PG,77,3.6,6.7,0.9,0.2,2.4,28.7
