Year,Minority,Major,Programming,Programming.Affinity,Statistics,Letter.Grade,Requirement,Birthday,Extrovert,People.Texted,Hours.of.Sleep,Handedness,Sleep.Position,Pets,Piercings,Languages
First Year,No,"Business, Cognitive Science",False,2,True,Yes,Yes,9/22,5,3,8,Right-handed,On your back,False,0,3
Second Year,No,"Applied Math, Physics",False,3,False,Yes,No,2/11,8,20,7,Right-handed,On your right side,True,2,2
First Year,Yes,Applied Math,False,1,False,Maybe,Yes,5/24,5,4,8,Right-handed,On your left side,True,5,3
Second Year,No,Chemical Engineering,True,4,True,Yes,Yes,10/12,8,7,6,Right-handed,On your stomach,True,0,1
First Year,No,Data Science,True,3,False,Yes,Yes,3/31,5,4,8,Right-handed,On your right side,False,0,2
Third Year,I don't know,Molecular and Cell Biology,False,2,True,Yes,Yes,7/17,1,2,6,Right-handed,On your back,False,2,2
First Year,No,Statistics,True,2,True,Yes,Yes,6/6,2,2,8,Left-handed,On your right side,False,4,1
Third Year,Yes,Molecular and Cell Biology,False,2,True,Yes,Yes,4/18,7,5,8,Right-handed,On your right side,True,2,6
First Year,No,Data Science,True,4,True,Yes,Yes,1/1,6,3,7.5,Right-handed,On your right side,True,0,4
First Year,Yes,Computer Science,True,4,False,Yes,Yes,10/17,6,10,7,Right-handed,On your right side,True,0,2
Second Year,Yes,Molecular and Cell Biology,False,4,True,Yes,I don't know,8/19,3,6,6,Right-handed,On your left side,False,0,3
Third Year,Yes,"Cognitive Science, Data Science",True,4,True,Yes,Yes,6/3,8,5,7,Right-handed,On your stomach,False,2,5
Second Year,No,"Applied Math, Computer Science",True,4,True,Yes,Yes,3/14,3,3,7,Right-handed,On your back,False,0,4
Second Year,No,Molecular and Cell Biology,False,2,False,Yes,No,5/23,7,15,8,Right-handed,On your right side,True,0,5
Second Year,Yes,"Computer Science, Data Science",True,5,True,Yes,Yes,4/27,8,8,8,Right-handed,On your back,True,0,4
First Year,No,Business,False,3,True,Yes,Yes,4/21,4,4,7,Right-handed,On your left side,True,4,2
First Year,Yes,Data Science,True,4,True,Yes,Yes,12/24,4,10,7,Right-handed,On your left side,True,0,4
Second Year,No,"Applied Math, Undecided",True,3,True,Yes,Yes,10/21,5,5,8,Right-handed,On your right side,True,0,2
First Year,Yes,"Cognitive Science, Economics",False,2,False,Yes,Yes,3/26,2,5,8,Right-handed,On your left side,False,3,3
Fourth Year,No,EECS,True,5,True,Yes,Yes,11/18,3,7,4,Right-handed,On your right side,False,0,1
First Year,No,"Cognitive Science, Psychology",True,3,False,Yes,Yes,6/28,8,10,7,Right-handed,On your left side,False,2,3
First Year,No,Business,False,1,True,Yes,Yes,3/21,8,15,8,Right-handed,On your right side,True,0,2
First Year,No,Data Science,True,3,True,Yes,Yes,6/15,3,6,7,Right-handed,On your back,False,0,6
