Name,Cuisine,Neighborhood,Reviews,Price,Rating,Open Time,Close Time,Photos
Agrodolce Osteria,Italian,North Berkeley,421,2,4.3,17,21.75,298
Almare Gelato Italiano,Ice Cream,Downtown Berkeley,277,1,4.7,12,23,215
Angeline’s Louisiana Kitchen,Cajun,Downtown Berkeley,2372,2,4.5,11.5,21,1698
Arinell Pizza,Pizza,Downtown Berkeley,270,1,4.1,11,21,57
Artichoke Basille’s Pizza,Pizza,Southside,896,1,4.6,11,27,281
Bag O’Crab,Seafood,Downtown Berkeley,214,2,4.2,11,21.5,215
Bangkok Noodles & Thai BBQ,Thai,Downtown Berkeley,287,1,4.3,16,24,234
Barney’s Gourmet Hamburgers,Hamburger,North Berkeley,633,2,4.4,11,21,303
Berkeley Social Club,Korean,Downtown Berkeley,920,2,4.4,17,21,1319
Berkeley Thai House,Thai,Southside,159,2,4.3,17,21,223
Beta Lounge,Takeout,Downtown Berkeley,200,2,4.4,15,23,225
Blue Bottle Coffee,Coffee Shop,Downtown Berkeley,488,2,4.5,7,17.5,434
Bobby G’s Pizzeria,Pizza,Downtown Berkeley,508,2,4.3,12,23,209
Bonchon Berkeley,Asian Fusion,Downtown Berkeley,346,2,3.9,11.5,21,336
Cafe Milano,Cafe,Southside,283,1,4.2,8,20,126
Caffe Strada,Coffee Shop,Southside,919,1,4.3,7,23,355
Cancun Sabor Mexicano,Mexican,Downtown Berkeley,797,2,4.3,11,21,242
Caravaggio Gelato Lab,Gelato,North Berkeley,326,2,4.7,13,22,144
Cha Ya,Japanese,North Berkeley,330,2,4.5,12,20,326
Cheese Board Collective Pizzeria,Pizza,North Berkeley,2941,1,4.8,4,17.5,1891
Chengdu Style Restaurant,Chinese,Southside,482,1,4.2,11,21,207
Chipotle Mexican Grill,Mexican,Downtown Berkeley,204,1,3.9,10.75,22,34
Comal,Mexican,Downtown Berkeley,1159,2,4.4,17,22.5,641
Comal Next Door,Mexican,Downtown Berkeley,194,2,4.3,11,20.5,50
Cornerstone Craft Beer & Live Music,Live Music Venue,Downtown Berkeley,1357,2,4.5,12,26,1041
CREAM Berkeley,Ice Cream,Southside,711,1,4.4,12,24,240
Crepevine Restaurant,American,North Berkeley,828,2,4.4,8,21,509
D’Yar,Mediterranean,Southside,204,1,4.1,11,22,54
Da Lian Restaurant,Chinese,North Berkeley,172,2,4.3,16.5,21.5,98
Daryoush,Persian,Downtown Berkeley,258,2,4.6,11.5,22,162
Dumpling Express,Dumpling,Southside,257,1,4.1,12,19,102
East Bay Spice Company,Indian,Downtown Berkeley,507,2,4.4,14,26,364
Eureka!,American,Downtown Berkeley,1761,2,4.3,11,25,1110
Feng Cha Teahouse,Bubble Tea,Southside,155,1,4.3,12,22,219
"Gather Kitchen, Bar and Events",Californian,Downtown Berkeley,945,2,4.4,16,21,972
Great China,Chinese,Downtown Berkeley,1186,2,4.4,17,21,1178
Gregoire Restaurant,French,North Berkeley,771,2,4.5,11.5,19,386
Gypsy’s Trattoria Italiana,Italian,Southside,1481,1,4.5,10,24,540
Happy Lemon Berkeley,Bubble Tea,Downtown Berkeley,282,1,4.4,11,22,131
Henry’s Bar & Restaurant,Bar,Southside,154,2,4.1,16,22,72
I.B.’s Berkeley,Fast Food,Southside,419,2,4.2,11,26,152
Ike’s Love and Sandwiches,Sandwich,Downtown Berkeley,398,2,4.3,10,21,149
Imm Thai Street Food,Thai,Downtown Berkeley,1073,1,4.5,11,21.5,902
Ippudo Berkeley,Ramen,Downtown Berkeley,713,2,4.2,11.5,21,930
Jot Mahal Palace of Indian Cuisine,Indian,North Berkeley,372,2,4.5,17.5,21,147
Jupiter,Brewpub,Downtown Berkeley,3209,2,4.5,12,23,1634
Kamado Sushi,Sushi,North Berkeley,327,2,4.5,10.5,21,443
Kimchi Garden,Korean,Southside,236,1,4.3,11,22,173
Kips Bar & Grill,Bar & Grill,Southside,307,1,3.9,11,26,140
Kokolo Donburi,Japanese,Downtown Berkeley,57,2,4.0,11.5,21,52
La Burrita,Mexican,Southside,360,1,4.3,11,20,93
La Note,French,Downtown Berkeley,1382,2,4.4,8,15,1399
Little Plearn Thai Kitchen,Thai,Downtown Berkeley,214,1,4.5,11,21,148
Lo Coco’s,Italian,North Berkeley,217,2,4.6,16,21,98
Lucia’s Berkeley,Italian,Downtown Berkeley,305,2,4.4,17,21.75,202
Marugame Udon,Udon,Downtown Berkeley,346,2,4.3,11,21,573
McDonald’s,Fast Food,Downtown Berkeley,923,1,3.2,6,24,288
Mezzo,Cafe,Southside,687,1,4.6,9,21,482
MoMo House,Nepalese,Southside,43,2,4.5,10.5,21,12
Oasis Grill,Mediterranean,Downtown Berkeley,221,1,4.2,11,19.5,169
Party Sushi,Sushi,North Berkeley,112,2,4.4,16.5,21,66
Pho K & K,Vietnamese,Southside,260,1,4.2,11,21,94
Platano,Salvadoran,Downtown Berkeley,800,2,4.5,11,21,424
Poke Bar,Hawaiian,Southside,134,1,4.4,11.5,20,52
Raleigh’s Pub,Pub,Southside,412,1,4.5,12,25,203
